title,url,loyalty,family,blood,nationality,species,house,gender,aliases
Vernon Dursley's secretary,https://harrypotter.fandom.com/wiki/Vernon_Dursley%27s_secretary,,,Muggle,British,Human,,Female,
Albus Dumbledore,https://harrypotter.fandom.com/wiki/Albus_Dumbledore,"Dumbledore family,Gellert Grindelwald,Order of Merlin,Order of the Phoenix,Dumbledore's Army,Harry Potter,Hogwarts School of Witchcraft and Wizardry
Gryffindor,Gryffindor,Transfiguration department,British Ministry of Magic
Council of Magical Law
Wizengamot,Council of Magical Law,Wizengamot,International Confederation of Wizards","Percival Dumbledore,Kendra Dumbledore,Aberforth Dumbledore,Ariana Dumbledore,Aurelius Dumbledore,Honoria",Half-blood,English,Human,Gryffindor,Male,
Minerva McGonagall,https://harrypotter.fandom.com/wiki/Minerva_McGonagall,"McGonagall family,Urquart family,Hogwarts School of Witchcraft and Wizardry,Gryffindor,Gryffindor Quidditch team,Transfiguration department,British Ministry of Magic,Department of Magical Law Enforcement,Albus Dumbledore,Order of the Phoenix,Dumbledore's Army","Robert McGonagall Snr,Isobel McGonagall,Malcolm McGonagall,Robert McGonagall Jnr,Elphinstone Urquart,Nieces and nephews,William McGonagall,M. G. McGonagall,Minerva,Mr Ross,Mrs Ross",Half-blood,Scottish,Human,Gryffindor,Female,
Dedalus Diggle,https://harrypotter.fandom.com/wiki/Dedalus_Diggle,"Diggle family,Order of the Phoenix,Advance Guard,Harry Potter",,Half-blood,,Human,,Male,
Poppy Pomfrey,https://harrypotter.fandom.com/wiki/Poppy_Pomfrey,"Albus Dumbledore,Hogwarts School of Witchcraft and Wizardry,Hospital Wing,Order of the Phoenix,Dumbledore's Army",,Pure-blood,British,Human,,Female,
Rubeus Hagrid,https://harrypotter.fandom.com/wiki/Rubeus_Hagrid,"Hogwarts School of Witchcraft and Wizardry
Gryffindor,Gryffindor,Order of the Phoenix,Hagrid family,Albus Dumbledore,Harry Potter,Statute of Secrecy Task Force","Mr Hagrid,Fridwulfa,Grawp,Grawp's father,Jim Hamilton",Part-Human,English,Human,Gryffindor,Male,"['Hagger', 'Hagrid']"
Sirius Black,https://harrypotter.fandom.com/wiki/Sirius_Black,"Black family,Potter family,Hogwarts School of Witchcraft and Wizardry
Gryffindor
Marauders,Gryffindor,Marauders,Order of the Phoenix","Phineas Nigellus Black,Ursula Black,Sirius Black II,Hesper Black,Cygnus Black II,Violetta Black,Arcturus Black III,Melania Black,Pollux Black,Irma Black,Orion Black,Walburga Black,Regulus Black II,Lucretia Prewett,Ignatius Prewett,Alphard Black,Cygnus Black III,Druella Black,Bellatrix Lestrange,Andromeda Tonks,Narcissa Malfoy,Delphini,Nymphadora Lupin,Edward Lupin,Draco Malfoy,Scorpius Malfoy,House of Black",Pure-blood,English,Human,Gryffindor,Male,"['Padfoot', 'Snuffles', 'Stubby Boardman']"
Marjorie Dursley,https://harrypotter.fandom.com/wiki/Marjorie_Dursley,,"Mr Dursley,Mrs Dursley,Vernon Dursley,Petunia Dursley,Dudley Dursley",Muggle,English,Human,,Female,"['Auntie Marge', 'Aunt Marge', 'Marge', 'Margie']"
Arabella Figg,https://harrypotter.fandom.com/wiki/Arabella_Figg,"Albus Dumbledore,Order of the Phoenix,Figg family",,Squib,British,Human,,Female,
Mr Tibbles,https://harrypotter.fandom.com/wiki/Mr_Tibbles,,,,,Kneazle,,Male,
Snowy,https://harrypotter.fandom.com/wiki/Snowy,,,,,Kneazle,,,
Mr Paws,https://harrypotter.fandom.com/wiki/Mr_Paws,,,,,Kneazle,,Male,
Tufty,https://harrypotter.fandom.com/wiki/Tufty,,,,,Kneazle,,,
Yvonne,https://harrypotter.fandom.com/wiki/Yvonne,,,Muggle,British,Human,,Female,
Piers Polkiss,https://harrypotter.fandom.com/wiki/Piers_Polkiss,"Dudley Dursley's gang,Smeltings Academy",,Muggle,British,Human,,Male,
Piers Polkiss's mother,https://harrypotter.fandom.com/wiki/Piers_Polkiss%27s_mother,,,Muggle,British,Human,,Female,
Keeper of the reptile house,https://harrypotter.fandom.com/wiki/Keeper_of_the_reptile_house,,,Muggle,,Human,,Male,
Zoo director,https://harrypotter.fandom.com/wiki/Zoo_director,,,Muggle,British,Human,,Male,
Boa constrictor at the Zoo,https://harrypotter.fandom.com/wiki/Boa_constrictor_at_the_Zoo,"Harry Potter,Zoo,Brazil",,,,Boa constrictor,,Male,
Gorilla at the Zoo,https://harrypotter.fandom.com/wiki/Gorilla_at_the_Zoo,,,,,Gorilla,,Male,
Dennis,https://harrypotter.fandom.com/wiki/Dennis,,,Muggle,,Human,,Male,
Malcolm,https://harrypotter.fandom.com/wiki/Malcolm,,,Muggle,,Human,,Male,
Gordon,https://harrypotter.fandom.com/wiki/Gordon,,,Muggle,,Human,,Male,
Dudley Dursley's parrot,https://harrypotter.fandom.com/wiki/Dudley_Dursley%27s_parrot,,,,,Parrot,,,
Dudley Dursley's tortoise,https://harrypotter.fandom.com/wiki/Dudley_Dursley%27s_tortoise,,,,,Tortoise,,,
Owner of the Railview Hotel,https://harrypotter.fandom.com/wiki/Owner_of_the_Railview_Hotel,,,Muggle,British,Human,,Female,
Rowboat owner,https://harrypotter.fandom.com/wiki/Rowboat_owner,,,Muggle,British,Human,,Male,
Merlin,https://harrypotter.fandom.com/wiki/Merlin,"Order of Merlin,Hogwarts School of Witchcraft and Wizardry,Slytherin,Court of King Arthur",,,British,Human,Slytherin,Male,[]
Evans sisters' father,https://harrypotter.fandom.com/wiki/Evans_sisters%27_father,,"Mrs Evans,Petunia Dursley,Lily Potter,Vernon Dursley,James Potter,Harry Potter,Dudley Dursley,James Potter II,Albus Potter,Lily Potter,Dudley's children",Muggle,,Human,,Male,
Evans sisters' mother,https://harrypotter.fandom.com/wiki/Evans_sisters%27_mother,,"Mr Evans,Petunia Dursley,Lily Potter,Vernon Dursley,James Potter,Harry Potter,Dudley Dursley,James Potter II,Albus Potter,Lily Potter,Dudley's children",Muggle,,Human,,Female,
McKinnon family,https://harrypotter.fandom.com/wiki/McKinnon_family,,,Wizarding family of unknown degree,,,,,
Bones family,https://harrypotter.fandom.com/wiki/Bones_family,"Hogwarts School of Witchcraft and Wizardry
Hufflepuff,Hufflepuff,British Ministry of Magic
Department of Magical Law Enforcement,Department of Magical Law Enforcement,Order of the Phoenix,Dumbledore's Army",,Half-blood,,,Hufflepuff,,
Prewett family,https://harrypotter.fandom.com/wiki/Prewett_family,"Hogwarts School of Witchcraft and Wizardry
Gryffindor,Gryffindor,Order of the Phoenix",,Pure-blood,,,Gryffindor,,
Cornelius Fudge,https://harrypotter.fandom.com/wiki/Cornelius_Fudge,"Order of Merlin,British Ministry of Magic
Department of Magical Accidents and Catastrophes
Wizengamot,Department of Magical Accidents and Catastrophes,Wizengamot,Fudge family,Hogwarts School of Witchcraft and Wizardry","Mrs Fudge,Rufus Fudge",Pure-blood,British,Human,,Male,"['Goblin-Crusher', 'The Other Minister']"
Miranda Goshawk,https://harrypotter.fandom.com/wiki/Miranda_Goshawk,"Goshawk family,Hogwarts School of Witchcraft and Wizardry","Mrs Goshawk,Mr Goshawk,Several uncles,Several aunts,Diadema Goshawk,Romilda Goshawk,Tangwystl Goshawk,Five more sisters,Several cousins",,British,Human,,Female,
Bathilda Bagshot,https://harrypotter.fandom.com/wiki/Bathilda_Bagshot,"Bagshot family,Dumbledore family,Potter family,Hogwarts School of Witchcraft and Wizardry","Gellert Grindelwald,Bagshot",,British,Human,,Female,[]
Adalbert Waffling,https://harrypotter.fandom.com/wiki/Adalbert_Waffling,,,,British,Human,,Male,
Emeric Switch,https://harrypotter.fandom.com/wiki/Emeric_Switch,,,,,Human,,Male,
Phyllida Spore,https://harrypotter.fandom.com/wiki/Phyllida_Spore,,,,British,Human,,Female,
Arsenius Jigger,https://harrypotter.fandom.com/wiki/Arsenius_Jigger,,,,British,Human,,Male,
Newton Scamander,https://harrypotter.fandom.com/wiki/Newton_Scamander,"Scamander family,Goldstein family,Hogwarts School of Witchcraft and Wizardry
Hufflepuff,Hufflepuff,Albus Dumbledore,British Ministry of Magic
Department for the Regulation and Control of Magical Creatures
Beast Division,Department for the Regulation and Control of Magical Creatures
Beast Division,Beast Division,Order of Merlin","Mrs Scamander,Theseus Scamander,Porpentina Goldstein,Child,Rolf Scamander,Luna Lovegood,Mr Goldstein,Mrs Goldstein,Queenie Goldstein,Lorcan,Lysander,Scamander family",Pure-blood,English,Human,Hufflepuff,Male,['Newt']
Quentin Trimble,https://harrypotter.fandom.com/wiki/Quentin_Trimble,,,,British,Human,,Male,
Tom,https://harrypotter.fandom.com/wiki/Tom,"Leaky Cauldron,Albus Dumbledore",,,British,Human,,Male,
Doris Crockford,https://harrypotter.fandom.com/wiki/Doris_Crockford,,,,,Human,,Female,
Quirinus Quirrell,https://harrypotter.fandom.com/wiki/Quirinus_Quirrell,"Hogwarts School of Witchcraft and Wizardry,Ravenclaw,Lord Voldemort",,Half-blood,British,Human,Ravenclaw,Male,
Gringotts Head Goblin,https://harrypotter.fandom.com/wiki/Gringotts_Head_Goblin,,,,British,Goblin,,Male,
Griphook,https://harrypotter.fandom.com/wiki/Griphook,,,,British,Goblin,,Male,
Madam Malkin's Robes for All Occasions,https://harrypotter.fandom.com/wiki/Madam_Malkin%27s_Robes_for_All_Occasions,,,,,,,,
Draco Malfoy,https://harrypotter.fandom.com/wiki/Draco_Malfoy,"Malfoy family,House of Black,Greengrass family,Hogwarts School of Witchcraft and Wizardry
Slytherin
Slytherin Quidditch team
Inquisitorial Squad,Slytherin,Slytherin Quidditch team,Inquisitorial Squad,Draco Malfoy's gang,Death Eaters,Lord Voldemort,British Ministry of Magic","Armand Malfoy,Nicholas Malfoy,Lucius Malfoy I,Brutus Malfoy,Septimus Malfoy,Abraxas Malfoy,Cygnus Black III,Druella Black,Lucius Malfoy II,Narcissa Malfoy,Bellatrix Lestrange,Rodolphus Lestrange,Delphini,Andromeda Tonks,Edward Tonks,Nymphadora Lupin,Astoria Malfoy,Scorpius Malfoy,Daphne Greengrass,Malfoy family,House of Black,Greengrass family",Pure-blood,British,Human,Slytherin,Male,[]
Lucius Malfoy,https://harrypotter.fandom.com/wiki/Lucius_Malfoy,"Malfoy family,House of Black,British Ministry of Magic,Hogwarts School of Witchcraft and Wizardry,Slug Club,Slytherin,Lord Voldemort,Death Eaters","Armand Malfoy,Nicholas Malfoy,Lucius Malfoy I,Septimus Malfoy,Brutus Malfoy,Abraxas Malfoy,Narcissa Malfoy,Draco Malfoy,Astoria Malfoy,Scorpius Malfoy,Cygnus Black III,Druella Black,Bellatrix Lestrange,Rodolphus Lestrange,Andromeda Tonks,Edward Tonks,Delphini,Nymphadora Lupin,Edward Lupin,Malfoy family,House of Black",Pure-blood,British,Human,Slytherin,Male,
Narcissa Malfoy,https://harrypotter.fandom.com/wiki/Narcissa_Malfoy,"House of Black,Malfoy family,Hogwarts School of Witchcraft and Wizardry,Slytherin,Death Eaters","Phineas Nigellus Black,Ursula Black,Cygnus Black II,Violetta Black,Pollux Black,Irma Black,Cygnus Black III,Druella Black,Bellatrix Lestrange,Rodolphus Lestrange,Andromeda Tonks,Edward Tonks,Walburga Black,Orion Black,Sirius Black,Regulus Black,Vinda Rosier,Rosier,Evan Rosier,Felix Rosier,Lucius Malfoy,Draco Malfoy,Astoria Malfoy,Scorpius Malfoy,Abraxas Malfoy,Delphini,Nymphadora Lupin",Pure-blood,British,Human,Slytherin,Female,[]
Vindictus Viridian,https://harrypotter.fandom.com/wiki/Vindictus_Viridian,,,,British,Human,,Male,
Hedwig,https://harrypotter.fandom.com/wiki/Hedwig,"Harry Potter,Eeylops Owl Emporium,Hogwarts Owlery",,,,Snowy owl,,Female,
Garrick Ollivander,https://harrypotter.fandom.com/wiki/Garrick_Ollivander,"Ollivander family,Ollivanders,Hogwarts School of Witchcraft and Wizardry,Ravenclaw,Harry Potter","Gervaise Ollivander,Mrs Ollivander,Wife,Son,Daughter †,Gerbold Ollivander,Ollivander,Geraint Ollivander",Half-blood,British,Human,Ravenclaw,Male,
King's Cross Station guard,https://harrypotter.fandom.com/wiki/King%27s_Cross_Station_guard,,,Muggle,British,Human,,Male,
Ginevra Weasley,https://harrypotter.fandom.com/wiki/Ginevra_Weasley,"Weasley family,Potter family,Prewett family,Hogwarts School of Witchcraft and Wizardry
Gryffindor
Gryffindor Quidditch team
Slug Club,Gryffindor,Gryffindor Quidditch team,Slug Club,Dumbledore's Army,Order of the Phoenix,Holyhead Harpies,Daily Prophet","Arthur Weasley,Molly Weasley,Bill Weasley,Charlie Weasley,Percy Weasley,Fred Weasley,George Weasley,Ron Weasley,Harry Potter,James Potter II,Albus Potter,Lily Potter II,Hermione Granger,Rose Granger-Weasley,Hugo Granger-Weasley,Angelina Weasley,Fred Weasley II,Roxanne Weasley,Fleur Weasley,Victoire Weasley,Dominique Weasley,Louis Weasley,Audrey Weasley,Molly Weasley II,Lucy Weasley,At least two paternal uncles,Bilius,Uncle,Fabian Prewett,Gideon Prewett,Cousin,Muriel,Septimus Weasley,Cedrella Weasley,Mr Prewett,Mrs Prewett,Weasley family,House of Black,James Potter,Lily Potter",Pure-blood,English,Human,Gryffindor,Female,"['Ginny', 'Gin']"
Molly Weasley,https://harrypotter.fandom.com/wiki/Molly_Weasley,"Weasley family,Prewett family,Potter family,Order of the Phoenix,Hogwarts School of Witchcraft and Wizardry
Gryffindor,Gryffindor","Possible great-grandmother,Father,Mother,Bilius,Gideon Prewett,Fabian Prewett,Muriel,Ignatius Prewett,Lucretia Prewett,Tessie,Second cousin,Nephew,Arthur Weasley,Bill Weasley,Charlie Weasley,Percy Weasley,Fred Weasley,George Weasley,Ron Weasley,Ginny Potter,Victoire Weasley,Dominique Weasley,Louis Weasley,Molly Weasley II,Lucy Weasley,Fred Weasley II,Roxanne Weasley,Rose Granger-Weasley,Hugo Granger-Weasley,James Potter II,Albus Potter,Lily Potter II,Septimus Weasley,Cedrella Weasley,Two brothers-in-law,Harry Potter,Hermione Granger,Fleur Weasley,Angelina Weasley,Audrey Weasley",Pure-blood,English,Human,Gryffindor,Female,[]
Percy Weasley,https://harrypotter.fandom.com/wiki/Percy_Weasley,"Weasley family,Prewett family,Hogwarts School of Witchcraft and Wizardry
Gryffindor,Gryffindor,British Ministry of Magic
Department of International Magical Cooperation,Department of International Magical Cooperation,Department of Magical Transportation","Arthur Weasley,Molly Weasley,Bill Weasley,Charlie Weasley,Fred Weasley,George Weasley,Ron Weasley,Ginevra Potter,Audrey Weasley,Molly Weasley II,Lucy Weasley,Muriel,Uncle,Cousin,Bilius,Fabian Prewett,Gideon Prewett,Septimus Weasley,Cedrella Black,Mr Prewett,Mrs Prewett,Fleur Weasley,Victoire Weasley,Dominique Weasley,Louis Weasley,Angelina Weasley,Fred Weasley II,Roxanne Weasley,Hermione Granger,Rose Granger-Weasley,Hugo Granger-Weasley,Harry Potter,James Potter II,Albus Potter,Lily L. Potter,Weasley family,House of Black",Pure-blood,English,Human,Gryffindor,Male,"['Perce', 'Weatherby']"
Fred Weasley,https://harrypotter.fandom.com/wiki/Fred_Weasley,"Circle of Khanna,Dumbledore's Army,Order of the Phoenix,Hogwarts School of Witchcraft and Wizardry,Gryffindor,Gryffindor Quidditch team,Weasleys' Wizard Wheezes,Potterwatch,Weasley family,Prewett family","Septimus Weasley,Cedrella Weasley,Arthur Weasley,Molly Weasley,Bill Weasley,Charlie Weasley,Percy Weasley,George Weasley,Ron Weasley,Ginevra Potter,Mr Prewett,Mrs Prewett,Gideon Prewett,Fabian Prewett,Bilius,Fred Weasley II,Roxanne Weasley,Fleur Weasley,Harry Potter,Hermione Granger,Angelina Weasley,Weasley family,House of Black",Pure-blood,English,Human,Gryffindor,Male,"['Rodent', 'Rapier', 'Forge', 'Freddie']"
George Weasley,https://harrypotter.fandom.com/wiki/George_Weasley,"Circle of Khanna,Dumbledore's Army,Order of the Phoenix,Hogwarts School of Witchcraft and Wizardry
Gryffindor
Gryffindor Quidditch team,Gryffindor,Gryffindor Quidditch team,Weasley family,Prewett family,Weasleys' Wizard Wheezes","Septimus Weasley,Cedrella Black,Mr Prewett,Mrs Prewett,Arthur Weasley,Molly Weasley,Bill Weasley,Charlie Weasley,Percy Weasley,Fred Weasley,Ron Weasley,Ginevra Potter,Angelina Weasley,Fred Weasley II,Roxanne Weasley,Gideon Prewett,Fabian Prewett,Paternal uncles,Bilius,Uncle,Cousin,Fleur Weasley,Victoire Weasley,Dominique Weasley,Louis Weasley,Audrey Weasley,Molly Weasley II,Lucy Weasley,Hermione Granger,Rose Granger-Weasley,Hugo Granger-Weasley,Harry Potter,James Potter II,Albus Potter,Lily Potter,Weasley family,Black family",Pure-blood,English,Human,Gryffindor,Male,"['Gred', 'Georgie', 'Tentacula']"
Ronald Weasley,https://harrypotter.fandom.com/wiki/Ronald_Weasley,"Weasley family,Granger family,Prewett family,Potter family,Dumbledore's Army,Order of the Phoenix,British Ministry of Magic
Auror Department,Auror Department,Hogwarts School of Witchcraft and Wizardry
Gryffindor
Gryffindor Quidditch team,Gryffindor,Gryffindor Quidditch team,S.P.E.W.,Weasleys' Wizard Wheezes,Chudley Cannons","Septimus Weasley,Cedrella Weasley,Mr Prewett,Mrs Prewett,Arthur Weasley,Molly Weasley,Bill Weasley,Charlie Weasley,Percy Weasley,Fred Weasley I,George Weasley,Ginevra Potter,Hermione Granger,Rose Granger-Weasley,Hugo Granger-Weasley,Tessie,Gideon Prewett,Fabian Prewett,Bilius,Uncle,Cousin,Paternal uncles,Harry Potter,James Potter II,Albus Potter,Lily L. Potter,Fleur Weasley,Victoire Weasley,Dominique Weasley,Louis Weasley,Audrey Weasley,Molly Weasley II,Lucy Weasley,Angelina Weasley,Fred Weasley II,Roxanne Weasley,Mr Granger,Mrs Granger,Weasley family,House of Black",Pure-blood,English,Human,Gryffindor,Male,"['Ron', 'Ickle Ronnikins', 'Wheezy', 'Won-Won', 'Weasel', 'Stan Shunpike', 'Barny Weasley', 'Dragomir Despard', 'Roonil Wazlib']"
Neville Longbottom,https://harrypotter.fandom.com/wiki/Neville_Longbottom,"Longbottom family,Hogwarts School of Witchcraft and Wizardry
Gryffindor
Herbology department
Slug Club,Gryffindor,Herbology department,Slug Club,Albus Dumbledore
Order of the Phoenix,Order of the Phoenix,Harry Potter
Dumbledore's Army,Dumbledore's Army,British Ministry of Magic
Auror Department,Auror Department,S.P.E.W.,Abbott family","Frank Longbottom,Alice Longbottom,Hannah Abbott,Mr Longbottom,Augusta Longbottom,Algie Longbottom,Enid Longbottom,Harfang Longbottom,Callidora Longbottom",Pure-blood,,Human,Gryffindor,Male,
Augusta Longbottom,https://harrypotter.fandom.com/wiki/Augusta_Longbottom,"Longbottom family,Order of the Phoenix,Hogwarts School of Witchcraft and Wizardry","Mr Longbottom,Frank Longbottom,Algie Longbottom,Enid Longbottom,Alice Longbottom,Neville Longbottom,Hannah Longbottom",Pure-blood,British,Human,,Female,
Lee Jordan,https://harrypotter.fandom.com/wiki/Lee_Jordan,"Jordan family,Hogwarts School of Witchcraft and Wizardry
Gryffindor,Gryffindor,Dumbledore's Army,Order of the Phoenix,Potterwatch",,Pure-blood,British,Human,Gryffindor,Male,[]
Lee Jordan's tarantula,https://harrypotter.fandom.com/wiki/Lee_Jordan%27s_tarantula,,,,,Tarantula,,,
William Weasley,https://harrypotter.fandom.com/wiki/William_Weasley,"Weasley family,Prewett family,Hogwarts School of Witchcraft and Wizardry
Gryffindor,Gryffindor,Order of the Phoenix,Gringotts Wizarding Bank,Delacour family,Circle of Khanna","Septimus Weasley,Cedrella Weasley,Mr Prewett,Mrs Prewett,Muriel,Ignatius Prewett,Lucretia Prewett,Arthur Weasley,Molly Weasley,Charles Weasley,Percy Weasley,Audrey Weasley,Fred Weasley I,George Weasley,Angelina Weasley,Ronald Weasley,Hermione Granger,Ginevra Potter,Harry Potter,Two paternal uncles,Uncle,Cousin,Bilius,Fabian Prewett,Gideon Prewett,Fleur Weasley,Victoire Weasley,Dominique Weasley,Louis Weasley,Monsieur Delacour,Apolline Delacour,Gabrielle Delacour,Molly Weasley,Lucy Weasley,Fred Weasley II,Roxanne Weasley,Rose Granger-Weasley,Hugo Granger-Weasley,James Potter II,Albus Potter,Lily Potter,Weasley family,House of Black",Pure-blood,English,Human,Gryffindor,Male,[]
Charles Weasley,https://harrypotter.fandom.com/wiki/Charles_Weasley,"Weasley family,Prewett family,Hogwarts School of Witchcraft and Wizardry
Gryffindor
Gryffindor Quidditch team
Dragon Club,Gryffindor,Gryffindor Quidditch team,Dragon Club,Hippogriff Club,Circle of Khanna,Romanian Dragon Sanctuary,Order of the Phoenix","Septimus Weasley,Cedrella Weasley,Mr Prewett,Mrs Prewett,Uncle,Cousin,Bilius,Gideon Prewett,Fabian Prewett,Paternal uncles,Arthur Weasley,Molly Weasley,Bill Weasley,Percy Weasley,Fred Weasley,George Weasley,Ron Weasley,Ginevra Potter,Fleur Weasley,Harry Potter,Hermione Granger,Audrey Weasley,Angelina Weasley,Victoire Weasley,Dominique Weasley,Louis Weasley,Molly Weasley II,Lucy Weasley,James Sirius Potter,Albus Severus Potter,Lily Luna Potter,Rose Granger-Weasley,Hugo Granger-Weasley,Fred Weasley II,Roxanne Weasley,Black family",Pure-blood,English,Human,Gryffindor,Male,[]
Arthur Weasley,https://harrypotter.fandom.com/wiki/Arthur_Weasley,"Weasley family,Prewett family,Potter family,Order of the Phoenix,British Ministry of Magic
Department of Magical Law Enforcement
Misuse of Muggle Artefacts Office
Office for the Detection and Confiscation of Counterfeit Defensive Spells and Protective Objects,Department of Magical Law Enforcement
Misuse of Muggle Artefacts Office
Office for the Detection and Confiscation of Counterfeit Defensive Spells and Protective Objects,Misuse of Muggle Artefacts Office,Office for the Detection and Confiscation of Counterfeit Defensive Spells and Protective Objects,Hogwarts School of Witchcraft and Wizardry
Gryffindor,Gryffindor","Septimus Weasley,Cedrella Weasley,2 brothers,Bilius,Brother or brother-in-law,Arcturus Black II,Lysandra Black,Caspar Crouch,Charis Crouch,Molly Weasley,Mr Prewett,Mrs Prewett,Bill Weasley,Charlie Weasley,Percy Weasley,Fred Weasley,George Weasley,Ron Weasley,Ginevra Potter,Bartemius Crouch Snr,Harfang Longbottom,Callidora Longbottom,Male cousin,2 female cousins,Male cousin,Female cousin,Tessie,Muriel,Nephew,Gideon Prewett,Fabian Prewett,Fleur Weasley,Audrey Weasley,Angelina Weasley,Hermione Granger,Harry Potter,Victoire Weasley,Dominique Weasley,Louis Weasley,Molly Weasley II,Lucy Weasley,Fred Weasley II,Roxanne Weasley,Rose Granger-Weasley,Hugo Granger-Weasley,James Potter II,Albus Potter,Lily Potter,House of Black",Pure-blood,English,Human,Gryffindor,Male,
Peter Pettigrew,https://harrypotter.fandom.com/wiki/Peter_Pettigrew,"Pettigrew family,Weasley family,Hogwarts School of Witchcraft and Wizardry,Gryffindor
Marauders,Marauders,Order of the Phoenix,Lord Voldemort,Death Eaters,The Cabal","Mrs Pettigrew,Enid Pettigrew",Half-blood,British,Human,Gryffindor,Male,"['Wormtail', 'Scabbers', 'Wormy', 'The Servant of Lord Voldemort']"
